Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
07/01/2014,"6,802.92","6,743.94","6,805.90","6,743.94",513.05M,0.87%,,,6692.401367
06/30/2014,"6,743.94","6,757.77","6,777.11","6,730.45",614.34M,-0.20%,,,6701.999512
06/27/2014,"6,757.77","6,735.12","6,767.63","6,735.12",516.99M,0.34%,,,6681.118652
06/26/2014,"6,735.12","6,733.62","6,753.25","6,701.59",902.55M,0.02%,,,6685.134277
06/25/2014,"6,733.62","6,787.07","6,787.07","6,716.35",585.45M,-0.79%,,,6734.094727
06/24/2014,"6,787.07","6,800.56","6,824.45","6,776.80",570.13M,-0.20%,,,6749.181152
06/23/2014,"6,800.56","6,825.20","6,829.76","6,785.83",466.64M,-0.36%,,,6769.94873
06/20/2014,"6,825.20","6,808.11","6,840.62","6,791.20",1.02B,0.25%,,,6752.036621
06/19/2014,"6,808.11","6,778.56","6,837.57","6,778.56",563.40M,0.44%,,,6724.38623
06/18/2014,"6,778.56","6,766.77","6,799.59","6,766.77",511.30M,0.17%,,,6711.909668
06/17/2014,"6,766.77","6,754.64","6,774.87","6,736.11",572.51M,0.18%,,,6702.875977
06/16/2014,"6,754.64","6,777.85","6,779.40","6,748.04",568.44M,-0.34%,,,6729.946777
06/13/2014,"6,777.85","6,843.11","6,843.11","6,758.15",640.61M,-0.95%,,,6787.194824
06/12/2014,"6,843.11","6,838.87","6,853.18","6,827.03",527.38M,0.06%,,,6787.191406
06/11/2014,"6,838.87","6,873.55","6,873.55","6,825.24",675.33M,-0.50%,,,6818.704102
06/10/2014,"6,873.55","6,875.00","6,875.24","6,835.80",534.39M,-0.02%,,,6818.614746
06/09/2014,"6,875.00","6,858.21","6,878.96","6,857.70",388.13M,0.24%,,,6798.869629
06/06/2014,"6,858.21","6,813.49","6,862.91","6,813.49",766.31M,0.66%,,,6759.157715
06/05/2014,"6,813.49","6,818.63","6,847.00","6,795.27",626.57M,-0.08%,,,6765.338379
06/04/2014,"6,818.63","6,836.30","6,840.60","6,800.10",560.72M,-0.26%,,,6783.827148
06/03/2014,"6,836.30","6,864.10","6,865.38","6,817.96",504.99M,-0.41%,,,6806.51123
06/02/2014,"6,864.10","6,844.51","6,874.38","6,844.51",573.72M,0.29%,,,6792.084961
05/30/2014,"6,844.51","6,871.29","6,874.33","6,831.99",1.17B,-0.39%,,,6814.222168
05/29/2014,"6,871.29","6,851.22","6,882.14","6,848.06",403.37M,0.29%,,,6795.962402
05/28/2014,"6,851.22","6,844.94","6,855.83","6,833.61",577.49M,0.09%,,,6787.418457
05/27/2014,"6,844.94","6,815.75","6,857.10","6,815.37",585.49M,0.43%,,,6761.931641
05/23/2014,"6,815.75","6,820.56","6,825.53","6,793.47",485.85M,-0.07%,,,6765.957031
05/22/2014,"6,820.56","6,821.04","6,846.57","6,810.19",564.13M,-0.01%,,,6763.823242
05/21/2014,"6,821.04","6,802.00","6,821.04","6,782.80",733.75M,0.28%,,,6751.000488
05/20/2014,"6,802.00","6,844.55","6,848.36","6,792.51",680.77M,-0.62%,,,6789.559082
05/19/2014,"6,844.55","6,855.81","6,862.20","6,804.31",744.48M,-0.16%,,,6797.57373
05/16/2014,"6,855.81","6,840.89","6,855.94","6,813.50",985.98M,0.22%,,,6788.156738
05/15/2014,"6,840.89","6,878.49","6,894.88","6,821.66",896.97M,-0.55%,,,6821.241699
05/14/2014,"6,878.49","6,873.08","6,880.07","6,854.02",529.68M,0.08%,,,6814.206055
